Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
12.08.2022 16:35:57,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,22
12.08.2022 16:35:57,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
12.08.2022 16:35:57,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
12.08.2022 16:35:57,System.Runtime,ThreadPool Thread Count,Metric,30
12.08.2022 16:35:57,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,1
12.08.2022 16:35:57,System.Runtime,ThreadPool Queue Length,Metric,0
12.08.2022 16:35:57,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,241399
12.08.2022 16:35:57,System.Runtime,Allocation Rate (B / 1 sec),Rate,273481344
12.08.2022 16:35:57,System.Runtime,Number of Active Timers,Metric,4
12.08.2022 16:35:57,System.Runtime,GC Fragmentation (%),Metric,0.8070315265474413
12.08.2022 16:35:57,System.Runtime,GC Committed Bytes (MB),Metric,15
12.08.2022 16:35:57,System.Runtime,Exception Count (Count / 1 sec),Rate,0
12.08.2022 16:35:57,System.Runtime,% Time in GC since last GC (%),Metric,1
12.08.2022 16:35:57,System.Runtime,Gen 0 Size (B),Metric,386416
12.08.2022 16:35:57,System.Runtime,Gen 1 Size (B),Metric,783776
12.08.2022 16:35:57,System.Runtime,Gen 2 Size (B),Metric,1378096
12.08.2022 16:35:57,System.Runtime,LOH Size (B),Metric,964272
12.08.2022 16:35:57,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,80856
12.08.2022 16:35:57,System.Runtime,Number of Assemblies Loaded,Metric,62
12.08.2022 16:35:57,System.Runtime,IL Bytes Jitted (B),Metric,259672
12.08.2022 16:35:57,System.Runtime,Number of Methods Jitted,Metric,4104
12.08.2022 16:35:57,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,0.3348999999999478
12.08.2022 16:35:58,System.Runtime,CPU Usage (%),Metric,29
12.08.2022 16:35:58,System.Runtime,Working Set (MB),Metric,87
12.08.2022 16:35:58,System.Runtime,GC Heap Size (MB),Metric,31
12.08.2022 16:35:58,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,35
12.08.2022 16:35:58,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,11
12.08.2022 16:35:58,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,4
12.08.2022 16:35:58,System.Runtime,ThreadPool Thread Count,Metric,31
12.08.2022 16:35:58,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,2
12.08.2022 16:35:58,System.Runtime,ThreadPool Queue Length,Metric,0
12.08.2022 16:35:58,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,274748
12.08.2022 16:35:58,System.Runtime,Allocation Rate (B / 1 sec),Rate,396095544
12.08.2022 16:35:58,System.Runtime,Number of Active Timers,Metric,4
12.08.2022 16:35:58,System.Runtime,GC Fragmentation (%),Metric,1.838869523733246
12.08.2022 16:35:58,System.Runtime,GC Committed Bytes (MB),Metric,33
12.08.2022 16:35:58,System.Runtime,Exception Count (Count / 1 sec),Rate,0
